timestep,producer,phi,theta,FILES
0.000599935126957,cview_0,-36,-90,RenderView1/0.000599935126957/-36/-90.png
0.000599935126957,cview_0,-36,-54,RenderView1/0.000599935126957/-36/-54.png
0.000599935126957,cview_0,-36,-18,RenderView1/0.000599935126957/-36/-18.png
0.000599935126957,cview_0,-36,18,RenderView1/0.000599935126957/-36/18.png
0.000599935126957,cview_0,-36,54,RenderView1/0.000599935126957/-36/54.png
0.000599935126957,cview_0,36,-90,RenderView1/0.000599935126957/36/-90.png
0.000599935126957,cview_0,36,-54,RenderView1/0.000599935126957/36/-54.png
0.000599935126957,cview_0,36,-18,RenderView1/0.000599935126957/36/-18.png
0.000599935126957,cview_0,36,18,RenderView1/0.000599935126957/36/18.png
0.000599935126957,cview_0,36,54,RenderView1/0.000599935126957/36/54.png
0.000599935126957,cview_0,108,-90,RenderView1/0.000599935126957/108/-90.png
0.000599935126957,cview_0,108,-54,RenderView1/0.000599935126957/108/-54.png
0.000599935126957,cview_0,108,-18,RenderView1/0.000599935126957/108/-18.png
0.000599935126957,cview_0,108,18,RenderView1/0.000599935126957/108/18.png
0.000599935126957,cview_0,108,54,RenderView1/0.000599935126957/108/54.png
0.000700049218722,cview_0,-180,-90,RenderView2/0.000700049218722/-180/-90.png
0.000700049218722,cview_0,-180,-54,RenderView2/0.000700049218722/-180/-54.png
0.000700049218722,cview_0,-180,-18,RenderView2/0.000700049218722/-180/-18.png
0.000700049218722,cview_0,-180,18,RenderView2/0.000700049218722/-180/18.png
0.000700049218722,cview_0,-180,54,RenderView2/0.000700049218722/-180/54.png
0.000700049218722,cview_0,-108,-90,RenderView2/0.000700049218722/-108/-90.png
0.000700049218722,cview_0,-108,-54,RenderView2/0.000700049218722/-108/-54.png
0.000700049218722,cview_0,-108,-18,RenderView2/0.000700049218722/-108/-18.png
0.000700049218722,cview_0,-108,18,RenderView2/0.000700049218722/-108/18.png
0.000700049218722,cview_0,-108,54,RenderView2/0.000700049218722/-108/54.png
0.000700049218722,cview_0,-36,-90,RenderView2/0.000700049218722/-36/-90.png
0.000700049218722,cview_0,-36,-54,RenderView2/0.000700049218722/-36/-54.png
0.000700049218722,cview_0,-36,-18,RenderView2/0.000700049218722/-36/-18.png
